TIRF Data File: Project 1320; Run 125
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	mph	rpm	deg	deg	in	in	psi	lb	lb	lb	ft-lb	ft-lb	none	none	deg F	deg F	deg F	deg F	deg F	none	SAE
26.840	25.06	492.70	-0.011	0.022	9.950	8.549	12.01	733.17	-5.52	-345.50	3.51	44.84	-2.12	0.02	93.09	143.80	147.90	170.36	79.18	0.164	0.195
26.860	25.08	492.35	-0.009	0.025	9.949	8.561	12.02	733.13	-3.98	-344.58	1.93	53.64	-2.13	0.01	93.13	143.88	147.93	170.41	79.22	0.162	0.194
26.880	25.09	491.92	-0.008	0.025	9.949	8.572	12.02	732.64	-4.21	-338.98	-10.39	59.60	-2.16	0.01	92.70	143.91	147.96	170.41	79.18	0.161	0.192
26.900	25.09	491.49	-0.006	0.024	9.950	8.580	12.01	729.81	-6.11	-337.04	-15.97	52.01	-2.17	0.02	93.16	143.99	148.04	170.51	79.21	0.160	0.191
26.920	25.09	491.21	-0.012	0.022	9.948	8.583	12.02	729.00	-7.02	-339.11	-12.88	40.72	-2.15	0.02	93.34	144.06	148.13	170.54	79.20	0.159	0.191
26.940	25.09	490.94	-0.008	0.022	9.949	8.590	12.01	733.26	-6.67	-342.68	-5.01	39.18	-2.14	0.02	93.37	144.14	148.18	170.64	79.20	0.158	0.190
26.960	25.09	490.59	0.008	0.021	9.949	8.596	12.02	735.53	-5.54	-345.31	1.88	44.13	-2.13	0.02	93.37	144.12	148.24	170.72	79.21	0.157	0.189
26.980	25.08	490.20	-0.003	0.022	9.950	8.598	12.02	735.60	-3.98	-345.43	2.01	54.00	-2.13	0.01	93.20	144.25	148.38	170.77	79.18	0.157	0.188
27.000	25.07	489.77	-0.003	0.027	9.948	8.603	12.02	733.17	-3.89	-340.74	-8.68	62.35	-2.15	0.01	93.41	144.33	148.38	170.88	79.22	0.156	0.188
27.020	25.06	489.77	-0.003	0.027	9.948	8.601	12.03	723.78	-4.85	-337.57	-15.96	52.24	-2.14	0.01	93.45	144.41	148.41	170.93	79.19	0.157	0.188
27.040	25.07	490.00	-0.006	0.027	9.948	8.600	12.01	724.78	-7.49	-338.79	-13.99	42.50	-2.14	0.02	93.62	144.46	148.49	171.06	79.23	0.157	0.188
