TIRF Data File: Project 1320; Run 128
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	mph	rpm	deg	deg	in	in	psi	lb	lb	lb	ft-lb	ft-lb	none	none	deg F	deg F	deg F	deg F	deg F	none	SAE
27.620	24.78	505.32	0.005	0.021	9.713	8.241	7.93	724.22	-37.89	-342.43	34.14	30.30	-2.11	0.11	100.84	152.19	163.18	168.95	79.89	0.179	0.228
27.640	24.76	504.89	0.007	0.021	9.713	8.243	7.93	717.62	-38.32	-342.50	35.33	39.25	-2.10	0.11	100.87	152.17	163.18	168.95	79.88	0.178	0.228
27.660	24.77	504.15	0.010	0.021	9.714	8.258	7.93	715.03	-36.51	-340.35	26.03	42.15	-2.10	0.11	100.80	152.22	163.21	168.92	79.90	0.176	0.226
27.680	24.79	503.41	0.011	0.018	9.714	8.275	7.95	723.59	-34.42	-338.97	17.94	38.77	-2.13	0.10	100.77	152.27	163.24	168.97	79.87	0.174	0.223
27.700	24.79	502.31	0.005	0.021	9.712	8.295	7.95	731.39	-34.12	-341.01	20.64	30.13	-2.14	0.10	100.73	152.38	163.27	169.05	79.92	0.171	0.220
27.720	24.80	500.95	0.008	0.015	9.714	8.321	7.93	732.03	-37.17	-343.92	28.38	23.63	-2.13	0.11	100.70	152.43	163.41	169.18	79.88	0.167	0.216
27.740	24.81	499.30	0.008	0.022	9.714	8.352	7.92	734.05	-40.71	-346.11	34.90	29.82	-2.12	0.12	100.63	152.46	163.41	169.18	79.90	0.163	0.212
27.760	24.83	497.62	0.005	0.021	9.713	8.385	7.92	729.65	-39.29	-344.39	35.48	37.13	-2.12	0.11	100.87	152.51	163.47	169.24	79.88	0.158	0.207
27.780	24.84	496.14	0.007	0.017	9.714	8.416	7.92	728.08	-37.63	-341.91	25.98	42.59	-2.13	0.11	101.02	152.51	163.58	169.26	79.89	0.154	0.203
27.800	24.84	494.97	0.005	0.021	9.713	8.435	7.93	733.38	-35.70	-340.82	17.32	40.05	-2.15	0.10	100.87	152.54	163.66	169.26	79.90	0.152	0.200
27.820	24.85	493.99	0.004	0.021	9.713	8.454	7.92	735.82	-35.39	-343.53	20.46	28.10	-2.14	0.10	101.09	152.56	163.78	169.31	79.88	0.149	0.197
27.840	24.86	493.21	0.004	0.022	9.714	8.472	7.93	733.14	-35.18	-345.08	27.27	24.01	-2.12	0.10	101.19	152.61	163.86	169.39	79.91	0.147	0.195
27.860	24.87	492.70	0.004	0.021	9.714	8.485	7.95	727.81	-34.80	-344.47	32.73	27.61	-2.11	0.10	101.30	152.67	163.92	169.44	79.87	0.145	0.193
27.880	24.90	492.62	0.010	0.021	9.714	8.496	7.93	721.53	-34.45	-343.43	34.57	35.24	-2.10	0.10	101.44	152.72	163.98	169.39	79.91	0.143	0.191
27.900	24.90	492.70	0.005	0.031	9.715	8.495	7.94	721.59	-34.53	-340.81	25.47	42.90	-2.12	0.10	101.40	152.69	163.98	169.37	79.88	0.144	0.191
27.920	24.90	493.09	0.010	0.017	9.716	8.488	7.93	726.42	-34.90	-340.91	16.78	39.46	-2.13	0.10	101.58	152.72	164.00	169.26	79.90	0.145	0.192
27.940	24.90	493.48	0.013	0.024	9.716	8.479	7.93	728.61	-33.99	-341.89	17.64	28.22	-2.13	0.10	101.62	152.67	163.98	169.24	79.89	0.146	0.194
27.960	24.89	493.75	0.007	0.028	9.716	8.474	7.92	731.97	-35.82	-343.64	25.48	24.11	-2.13	0.10	102.08	152.80	164.03	169.26	79.87	0.147	0.194
27.980	24.91	493.60	0.008	0.021	9.716	8.482	7.94	734.01	-38.40	-344.04	32.71	27.07	-2.13	0.11	101.90	152.72	163.92	169.24	79.91	0.145	0.193
28.000	24.93	493.29	0.005	0.021	9.717	8.493	7.94	731.44	-38.99	-343.10	34.26	35.05	-2.13	0.11	101.79	152.69	164.00	169.24	79.87	0.144	0.192
28.020	24.94	492.78	0.007	0.022	9.716	8.506	7.94	731.21	-38.58	-341.42	25.97	43.74	-2.14	0.11	101.79	152.69	163.98	169.16	79.92	0.142	0.190
28.040	24.95	492.11	0.007	0.017	9.716	8.521	7.93	735.06	-36.48	-339.94	16.87	40.16	-2.16	0.11	101.86	152.72	163.98	169.18	79.88	0.140	0.188
28.060	24.94	491.18	0.007	0.021	9.716	8.535	7.93	742.75	-37.13	-342.65	18.50	31.53	-2.17	0.11	101.86	152.75	164.03	169.18	79.91	0.138	0.186
28.080	24.94	489.89	0.013	0.021	9.718	8.556	7.92	749.48	-40.36	-344.25	25.44	27.43	-2.18	0.12	101.90	152.72	164.06	169.21	79.88	0.136	0.183
28.100	24.94	488.40	0.008	0.024	9.718	8.581	7.94	750.99	-44.35	-346.89	33.80	26.18	-2.16	0.13	101.93	152.85	164.03	169.24	79.89	0.132	0.179
28.120	24.93	486.72	0.008	0.021	9.719	8.610	7.93	750.60	-45.72	-346.28	35.81	35.18	-2.17	0.13	102.04	152.77	163.98	169.26	79.90	0.129	0.175
28.140	24.92	485.12	-0.003	0.025	9.718	8.633	7.92	748.58	-44.37	-343.63	28.44	42.71	-2.18	0.13	102.15	152.77	163.95	169.18	79.88	0.126	0.172
28.160	24.92	483.67	0.007	0.022	9.719	8.658	7.93	750.71	-41.96	-341.40	18.18	39.51	-2.20	0.12	102.15	152.80	163.86	169.13	79.91	0.122	0.169
28.180	24.92	482.46	0.005	0.021	9.720	8.681	7.92	758.38	-41.38	-342.47	15.83	33.19	-2.21	0.12	102.39	152.80	163.81	169.10	79.88	0.120	0.166
28.200	24.91	481.33	0.013	0.025	9.719	8.699	7.93	759.87	-42.90	-344.90	23.26	25.08	-2.20	0.12	102.08	152.80	163.78	169.08	79.92	0.117	0.163
28.220	24.90	480.27	0.004	0.021	9.719	8.715	7.93	760.63	-45.32	-347.03	32.39	25.82	-2.19	0.13	102.01	152.88	163.78	168.97	79.88	0.115	0.161
28.240	24.87	479.37	0.014	0.025	9.721	8.721	7.94	762.64	-47.77	-346.58	36.98	35.42	-2.20	0.14	102.08	152.82	163.78	168.95	79.90	0.115	0.161
28.260	24.86	478.67	0.007	0.024	9.721	8.728	7.93	757.64	-47.00	-343.83	33.13	42.21	-2.20	0.14	102.43	152.80	163.61	168.79	79.89	0.114	0.159
