TIRF Data File: Project 1320; Run 129
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	mph	rpm	deg	deg	in	in	psi	lb	lb	lb	ft-lb	ft-lb	none	none	deg F	deg F	deg F	deg F	deg F	none	SAE
27.500	24.84	498.21	0.004	0.031	9.820	8.381	11.97	697.85	-23.04	-339.12	13.67	40.02	-2.06	0.07	103.46	161.69	172.60	188.96	80.22	0.172	0.214
27.520	24.85	497.98	-0.002	0.024	9.820	8.387	11.94	702.67	-21.37	-340.37	9.60	31.71	-2.06	0.06	103.14	161.80	172.57	188.98	80.19	0.171	0.213
27.540	24.88	497.47	0.000	0.022	9.821	8.404	11.96	711.95	-20.59	-344.00	14.91	24.70	-2.07	0.06	103.00	161.85	172.68	189.09	80.22	0.168	0.211
27.560	24.91	496.76	0.013	0.027	9.821	8.426	11.94	715.89	-22.26	-346.32	22.60	23.42	-2.07	0.06	103.21	161.95	172.71	189.11	80.19	0.166	0.208
27.580	24.93	495.79	0.007	0.027	9.821	8.453	11.96	714.37	-25.48	-346.46	27.48	29.11	-2.06	0.07	103.17	161.93	172.82	189.17	80.20	0.162	0.204
27.600	24.97	494.65	0.004	0.021	9.821	8.483	11.95	711.91	-27.33	-343.34	24.68	39.41	-2.07	0.08	103.17	162.03	172.82	189.24	80.20	0.158	0.200
27.620	25.00	493.72	0.004	0.024	9.824	8.512	11.96	709.55	-25.53	-338.98	15.05	41.39	-2.09	0.08	103.07	162.09	172.82	189.30	80.19	0.154	0.195
27.640	25.04	492.90	0.007	0.024	9.821	8.540	11.97	713.45	-23.56	-340.15	11.49	33.74	-2.10	0.07	103.07	162.09	172.82	189.37	80.22	0.150	0.192
27.660	25.06	492.15	0.001	0.018	9.822	8.558	11.95	723.49	-24.81	-343.68	14.60	27.27	-2.11	0.07	103.00	162.16	172.88	189.43	80.19	0.148	0.189
27.680	25.07	491.37	0.004	0.030	9.821	8.575	11.96	725.89	-26.65	-346.11	21.79	22.82	-2.10	0.08	102.93	162.22	172.94	189.48	80.22	0.145	0.187
27.700	25.08	490.67	0.005	0.022	9.822	8.589	11.96	724.34	-28.30	-345.95	27.26	30.48	-2.09	0.08	103.03	162.22	172.97	189.61	80.18	0.143	0.185
27.720	25.07	489.92	-0.003	0.028	9.822	8.599	11.96	717.80	-28.13	-342.80	25.71	39.70	-2.09	0.08	103.46	162.22	172.85	189.56	80.21	0.142	0.183
27.740	25.05	489.53	0.000	0.025	9.823	8.601	11.96	712.47	-27.24	-338.99	16.43	41.31	-2.10	0.08	103.24	162.22	172.91	189.61	80.19	0.142	0.183
27.760	25.05	489.49	-0.003	0.028	9.822	8.601	11.95	715.50	-26.38	-338.66	8.68	37.79	-2.11	0.08	103.28	162.24	172.82	189.56	80.19	0.142	0.183
27.780	25.04	489.73	0.004	0.025	9.823	8.594	11.95	719.70	-25.92	-342.09	11.77	27.50	-2.10	0.08	103.46	162.22	172.88	189.58	80.20	0.143	0.184
27.800	25.04	489.89	0.004	0.027	9.822	8.590	11.97	725.11	-26.03	-345.82	21.02	24.22	-2.10	0.08	102.82	162.11	172.88	189.61	80.18	0.143	0.185
27.820	25.04	489.85	-0.002	0.022	9.824	8.591	11.96	728.75	-27.68	-345.45	28.08	30.42	-2.11	0.08	103.24	162.16	172.85	189.61	80.22	0.143	0.184
27.840	25.02	489.77	0.005	0.027	9.823	8.587	11.96	723.72	-28.43	-343.67	29.47	37.17	-2.11	0.08	103.35	162.03	172.85	189.64	80.18	0.144	0.185
27.860	25.01	489.65	0.011	0.031	9.822	8.583	11.99	718.82	-27.71	-338.48	19.07	41.74	-2.12	0.08	103.31	161.95	172.82	189.53	80.22	0.144	0.185
27.880	24.99	489.53	0.004	0.022	9.823	8.580	11.97	723.70	-27.79	-337.07	9.32	39.65	-2.15	0.08	103.49	161.87	172.80	189.56	80.19	0.145	0.186
27.900	24.98	489.34	0.004	0.025	9.823	8.581	11.97	726.17	-26.09	-341.15	11.74	27.20	-2.13	0.08	103.63	161.82	172.88	189.51	80.20	0.145	0.186
27.920	25.00	488.79	0.001	0.022	9.824	8.595	11.97	729.49	-25.88	-344.61	20.07	22.49	-2.12	0.08	103.70	161.77	172.88	189.56	80.21	0.143	0.184
27.940	25.01	488.17	0.004	0.028	9.822	8.609	11.96	733.50	-27.87	-345.22	26.46	29.42	-2.12	0.08	104.09	161.82	172.94	189.48	80.19	0.141	0.182
27.960	25.02	487.31	0.004	0.027	9.822	8.631	11.97	730.47	-29.24	-343.34	27.94	35.82	-2.13	0.09	103.74	161.80	172.94	189.45	80.21	0.138	0.179
27.980	25.03	486.25	0.008	0.027	9.822	8.650	11.95	729.57	-30.22	-340.20	20.05	42.97	-2.14	0.09	103.70	161.77	172.91	189.43	80.18	0.135	0.176
28.000	25.03	485.39	0.008	0.028	9.823	8.668	11.97	731.50	-28.75	-337.88	9.69	40.20	-2.16	0.09	103.81	161.80	172.91	189.35	80.21	0.133	0.174
28.020	25.05	484.45	0.000	0.024	9.822	8.690	12.01	734.21	-26.12	-340.57	10.09	28.47	-2.16	0.08	103.77	161.61	172.88	189.40	80.18	0.130	0.171
28.040	25.05	483.36	0.008	0.021	9.822	8.710	11.95	739.29	-26.23	-343.97	17.66	25.42	-2.15	0.08	103.88	161.74	172.88	189.37	80.21	0.128	0.168
28.060	25.05	482.19	0.005	0.022	9.823	8.732	11.97	740.37	-29.13	-346.59	25.84	26.98	-2.14	0.08	103.84	161.82	172.91	189.45	80.19	0.125	0.165
28.080	25.06	481.05	0.004	0.021	9.824	8.754	11.98	737.33	-32.82	-347.13	29.50	33.70	-2.12	0.09	103.81	161.82	172.82	189.40	80.18	0.122	0.162
28.100	25.08	480.15	0.004	0.021	9.824	8.780	11.96	734.58	-32.54	-342.66	22.71	43.22	-2.14	0.09	103.74	161.82	172.71	189.40	80.20	0.119	0.159
28.120	25.10	479.37	0.004	0.025	9.822	8.800	11.95	730.64	-29.97	-338.66	11.94	40.56	-2.16	0.09	103.70	161.80	172.71	189.40	80.18	0.116	0.156
28.140	25.10	478.86	0.008	0.028	9.823	8.810	11.96	732.85	-28.31	-340.08	8.01	31.34	-2.15	0.08	103.70	161.82	172.57	189.37	80.21	0.115	0.155
28.160	25.12	478.47	0.007	0.028	9.822	8.825	11.95	737.72	-29.38	-344.99	13.86	25.07	-2.14	0.09	103.67	161.80	172.57	189.37	80.18	0.113	0.153
28.180	25.13	478.12	0.004	0.027	9.823	8.833	11.97	735.46	-30.24	-348.33	23.12	23.77	-2.11	0.09	103.67	161.85	172.54	189.32	80.20	0.112	0.152
28.200	25.11	477.61	0.010	0.030	9.824	8.836	11.97	731.96	-31.43	-347.34	27.85	31.65	-2.11	0.09	103.49	161.80	172.51	189.27	80.18	0.112	0.152
28.220	25.09	477.34	0.010	0.028	9.824	8.833	11.97	727.62	-31.12	-342.19	24.21	40.49	-2.13	0.09	103.67	161.77	172.34	189.22	80.20	0.112	0.152
28.240	25.07	477.07	0.001	0.025	9.826	8.832	11.96	722.68	-28.83	-338.92	15.59	40.86	-2.13	0.09	103.63	161.77	172.17	189.17	80.19	0.112	0.152
