TIRF Data File: Project 1320; Run 129
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
28.260	25.06	476.91	0.005	0.027	9.825	8.832	11.97	722.38	-28.73	-340.65	10.27	34.10	-2.12	0.08	103.53	161.72	172.14	189.19	80.19	0.112	0.152
28.280	25.04	476.83	0.001	0.025	9.826	8.827	11.96	723.22	-29.03	-344.52	13.42	25.75	-2.10	0.08	103.42	161.66	172.11	189.14	80.21	0.113	0.153
28.300	25.02	476.52	0.004	0.024	9.826	8.825	11.96	723.05	-28.96	-346.87	22.06	22.62	-2.08	0.08	103.28	161.66	172.06	189.14	80.17	0.113	0.153
28.320	24.98	476.05	0.010	0.028	9.825	8.820	11.96	724.62	-29.69	-346.22	29.30	29.08	-2.09	0.09	103.24	161.61	171.97	189.06	80.22	0.114	0.154
28.340	24.95	475.35	0.000	0.024	9.827	8.821	11.96	722.58	-30.29	-343.03	28.25	36.38	-2.11	0.09	103.14	161.56	171.92	189.04	80.17	0.114	0.153
28.360	24.92	474.60	0.000	0.025	9.827	8.826	11.97	719.79	-30.66	-339.52	19.26	39.52	-2.12	0.09	103.14	161.45	171.89	188.98	80.21	0.113	0.153
28.380	24.90	473.74	0.004	0.024	9.826	8.833	11.96	724.41	-31.21	-337.87	9.56	37.59	-2.14	0.09	102.64	161.45	171.80	188.91	80.19	0.112	0.152
28.400	24.89	472.69	0.000	0.021	9.826	8.848	11.96	728.42	-29.82	-341.09	11.64	27.02	-2.14	0.09	103.14	161.43	171.80	188.88	80.19	0.111	0.150
28.420	24.90	471.52	0.004	0.022	9.827	8.875	11.97	732.53	-29.46	-344.68	20.22	23.65	-2.13	0.09	102.93	161.40	171.77	188.88	80.20	0.107	0.146
28.440	24.91	469.95	0.004	0.024	9.827	8.910	11.96	738.18	-32.06	-346.70	27.87	29.73	-2.13	0.09	102.68	161.30	171.72	188.80	80.19	0.103	0.142
28.460	24.94	468.43	0.004	0.021	9.827	8.947	11.96	737.21	-36.07	-347.20	31.52	34.05	-2.12	0.10	102.68	161.27	171.63	188.75	80.22	0.098	0.137
28.480	24.95	466.91	0.004	0.024	9.827	8.982	11.96	737.31	-38.14	-343.07	23.49	42.30	-2.15	0.11	102.29	161.22	171.52	188.67	80.17	0.094	0.133
28.500	24.96	465.46	0.000	0.025	9.826	9.014	11.96	740.16	-36.99	-338.48	12.04	42.31	-2.19	0.11	102.39	161.16	171.46	188.57	80.21	0.090	0.129
28.520	24.99	464.33	0.010	0.025	9.826	9.045	11.98	742.02	-34.22	-340.71	10.60	31.69	-2.18	0.10	102.47	161.01	171.41	188.57	80.18	0.086	0.125
28.540	25.01	463.23	0.000	0.027	9.828	9.075	11.96	744.94	-34.20	-346.06	15.89	25.85	-2.15	0.10	102.71	160.98	171.38	188.46	80.20	0.083	0.121
28.560	25.03	462.25	0.001	0.024	9.828	9.101	11.95	745.49	-36.94	-349.53	23.53	24.65	-2.13	0.11	102.39	160.85	171.32	188.38	80.18	0.080	0.118
28.580	25.05	461.47	0.007	0.024	9.829	9.124	11.97	746.03	-40.33	-348.61	27.47	31.56	-2.14	0.12	102.39	160.77	171.21	188.28	80.18	0.077	0.115
28.600	25.09	460.89	0.004	0.021	9.829	9.149	11.97	742.58	-41.71	-345.35	25.55	42.03	-2.15	0.12	102.50	160.61	171.12	188.25	80.21	0.074	0.112
28.620	25.11	460.57	0.004	0.027	9.830	9.162	11.98	736.69	-39.42	-340.81	17.91	43.74	-2.16	0.12	102.43	160.56	170.92	188.12	80.18	0.073	0.111
28.640	25.11	460.57	0.001	0.025	9.830	9.162	11.96	739.78	-37.78	-339.42	10.60	37.97	-2.18	0.11	102.47	160.43	170.87	188.02	80.21	0.073	0.111
28.660	25.10	460.61	0.001	0.022	9.830	9.159	11.96	748.58	-36.55	-342.69	13.03	30.41	-2.18	0.11	102.11	160.24	170.78	187.89	80.18	0.073	0.111
28.680	25.08	460.46	0.007	0.025	9.831	9.155	11.95	751.32	-36.36	-345.52	20.22	25.41	-2.17	0.11	102.64	160.19	170.67	187.78	80.20	0.074	0.111
28.700	25.06	460.14	0.008	0.031	9.831	9.155	11.97	753.99	-37.88	-346.79	27.12	28.94	-2.17	0.11	102.82	160.03	170.61	187.73	80.19	0.074	0.111
28.720	25.06	459.56	0.005	0.025	9.831	9.163	11.96	753.80	-40.63	-346.00	30.04	38.21	-2.18	0.12	102.93	159.90	170.47	187.63	80.19	0.073	0.110
28.740	25.05	458.78	0.005	0.030	9.832	9.176	11.96	744.76	-40.03	-340.91	23.29	42.53	-2.18	0.12	102.93	159.77	170.27	187.47	80.21	0.072	0.109
28.760	25.05	458.15	0.011	0.028	9.832	9.188	11.96	741.34	-39.16	-336.89	12.50	40.96	-2.20	0.12	103.42	159.64	170.19	187.31	80.17	0.070	0.107
28.780	25.03	457.60	0.001	0.022	9.834	9.193	11.96	747.81	-38.28	-337.48	7.74	34.33	-2.22	0.11	103.14	159.45	170.02	187.24	80.21	0.070	0.107
28.800	25.01	456.94	0.001	0.021	9.832	9.200	11.96	751.11	-36.86	-342.56	14.26	24.91	-2.19	0.11	103.00	159.40	169.93	187.13	80.18	0.069	0.106
28.820	25.00	456.12	0.005	0.024	9.833	9.212	11.96	754.39	-37.27	-346.65	23.32	26.09	-2.18	0.11	103.10	159.27	169.85	187.05	80.21	0.067	0.105
28.840	25.00	454.99	0.004	0.022	9.834	9.233	11.96	753.62	-39.72	-347.72	27.56	32.53	-2.17	0.11	103.14	159.17	169.70	186.92	80.18	0.065	0.102
28.860	24.99	454.05	0.000	0.022	9.834	9.251	11.96	747.25	-43.29	-345.11	24.91	39.08	-2.17	0.13	103.03	159.03	169.62	186.82	80.20	0.063	0.100
28.880	25.01	452.95	0.005	0.027	9.834	9.281	11.96	744.55	-44.12	-340.59	15.38	45.25	-2.19	0.13	103.14	158.93	169.45	186.61	80.19	0.060	0.096
28.900	25.03	452.21	0.000	0.027	9.833	9.302	11.97	742.48	-39.82	-338.69	8.80	38.28	-2.19	0.12	103.07	158.82	169.31	186.53	80.18	0.057	0.094
28.920	25.02	451.59	0.001	0.025	9.833	9.313	11.97	742.08	-37.17	-343.72	12.26	27.78	-2.16	0.11	102.89	158.67	169.19	186.35	80.20	0.056	0.093
28.940	25.01	450.88	0.004	0.021	9.833	9.321	11.96	746.25	-38.22	-347.97	18.71	25.56	-2.14	0.11	102.89	158.59	169.05	186.24	80.18	0.055	0.092
28.960	25.00	450.26	0.004	0.021	9.834	9.333	11.95	745.23	-41.59	-350.27	24.96	25.31	-2.13	0.12	102.82	158.51	168.94	186.11	80.22	0.054	0.090
28.980	25.01	449.55	0.004	0.025	9.835	9.349	11.98	742.37	-44.35	-349.06	28.21	32.49	-2.13	0.13	102.75	158.32	168.77	185.98	80.17	0.052	0.088
29.000	25.00	448.85	0.007	0.027	9.837	9.360	11.98	737.13	-42.64	-344.13	24.36	41.47	-2.14	0.12	102.75	158.14	168.63	185.80	80.20	0.051	0.087
29.020	25.00	448.26	0.014	0.021	9.838	9.372	11.98	728.81	-41.43	-339.87	15.80	41.24	-2.14	0.12	102.71	158.01	168.46	185.62	80.19	0.050	0.086
29.040	24.98	447.99	0.013	0.028	9.837	9.371	11.99	729.75	-40.88	-339.85	8.98	35.93	-2.15	0.12	102.64	157.93	168.31	185.41	80.19	0.050	0.086
29.060	24.98	447.60	0.004	0.021	9.838	9.378	11.99	733.92	-38.69	-342.71	12.34	26.33	-2.14	0.11	102.61	157.80	168.17	185.23	80.21	0.049	0.085
29.080	24.98	447.13	0.004	0.022	9.837	9.391	12.00	732.25	-37.38	-346.66	21.56	22.27	-2.11	0.11	102.54	157.69	168.09	185.07	80.16	0.047	0.084
29.100	24.97	446.54	0.000	0.024	9.840	9.398	12.01	730.70	-39.04	-348.53	27.35	29.93	-2.10	0.11	102.50	157.61	167.97	184.89	80.21	0.047	0.083
29.120	24.97	445.84	0.008	0.028	9.839	9.414	12.02	724.62	-42.59	-346.81	27.87	36.56	-2.09	0.12	102.36	157.46	167.80	184.65	80.17	0.045	0.081
29.140	24.97	445.18	0.005	0.030	9.841	9.428	12.00	716.27	-42.45	-341.35	21.73	41.16	-2.10	0.12	102.29	157.27	167.58	184.47	80.22	0.044	0.079
29.160	24.96	444.63	0.005	0.037	9.838	9.434	12.01	715.35	-40.35	-337.74	12.84	41.44	-2.12	0.12	102.32	157.19	167.44	184.18	80.18	0.043	0.079
29.180	24.94	444.00	0.001	0.025	9.840	9.442	12.00	717.38	-38.02	-340.27	12.20	30.88	-2.11	0.11	102.32	157.06	167.27	183.95	80.19	0.042	0.078
29.200	24.94	443.46	0.004	0.022	9.840	9.453	12.02	720.34	-36.45	-345.01	17.11	22.58	-2.09	0.11	102.15	156.98	167.18	183.77	80.19	0.041	0.076
29.220	24.96	442.56	0.005	0.028	9.840	9.478	12.02	720.60	-37.35	-348.43	23.51	22.58	-2.07	0.11	101.97	156.93	167.04	183.51	80.19	0.038	0.074
29.240	24.96	441.54	0.007	0.030	9.842	9.502	12.00	714.78	-40.87	-350.57	28.88	27.24	-2.04	0.12	102.11	156.82	166.90	183.27	80.20	0.036	0.071
29.260	24.96	440.37	0.000	0.021	9.842	9.527	12.00	708.27	-44.10	-346.85	25.84	36.85	-2.04	0.13	101.72	156.69	166.76	183.04	80.17	0.033	0.068
29.280	24.95	439.47	-0.002	0.025	9.842	9.541	12.02	701.59	-43.20	-341.77	19.11	42.63	-2.05	0.13	101.62	156.46	166.53	182.70	80.21	0.031	0.066
29.300	24.93	438.77	0.000	0.025	9.843	9.550	12.00	697.55	-40.13	-339.36	11.81	38.55	-2.06	0.12	101.47	156.30	166.36	182.49	80.18	0.031	0.065
29.320	24.92	438.18	0.005	0.031	9.841	9.559	12.02	701.39	-38.93	-341.73	10.42	30.43	-2.05	0.11	101.90	156.19	166.22	182.25	80.21	0.029	0.064
29.340	24.92	437.55	0.001	0.022	9.844	9.571	12.02	700.67	-38.88	-347.29	17.30	21.98	-2.02	0.11	101.37	156.09	166.07	181.99	80.18	0.029	0.063
29.360	24.92	436.89	0.004	0.025	9.845	9.588	12.01	694.61	-38.97	-350.55	25.05	21.99	-1.98	0.11	101.26	155.96	165.90	181.71	80.20	0.027	0.061
29.380	24.92	436.26	0.005	0.021	9.845	9.601	12.01	688.46	-41.54	-350.74	31.01	29.06	-1.96	0.12	101.23	155.75	165.73	181.42	80.20	0.025	0.060
29.400	24.93	435.72	0.005	0.033	9.847	9.615	12.00	680.82	-43.08	-347.45	30.89	35.95	-1.96	0.12	101.09	155.56	165.45	181.11	80.17	0.024	0.058
29.420	24.92	435.21	0.007	0.028	9.846	9.622	12.02	675.03	-43.12	-341.09	20.66	40.67	-1.98	0.13	101.19	155.43	165.28	180.74	80.21	0.023	0.057
29.440	24.91	435.05	0.014	0.022	9.848	9.623	12.02	671.59	-42.24	-339.04	11.42	36.18	-1.98	0.12	101.19	155.22	165.03	180.43	80.18	0.023	0.057
29.460	24.91	434.78	0.007	0.028	9.849	9.630	12.03	672.45	-39.00	-341.57	11.30	25.73	-1.97	0.11	101.19	155.14	164.88	180.06	80.21	0.023	0.057
29.480	24.90	434.23	0.000	0.024	9.848	9.638	12.03	673.66	-37.09	-346.47	18.85	20.28	-1.94	0.11	101.19	154.98	164.69	179.75	80.18	0.022	0.056
29.500	24.91	433.49	0.008	0.030	9.848	9.657	12.00	668.01	-38.12	-348.40	25.70	22.86	-1.92	0.11	101.30	154.75	164.54	179.38	80.21	0.020	0.054
29.520	24.89	432.59	0.004	0.027	9.849	9.672	12.03	655.40	-40.07	-347.26	28.59	27.18	-1.89	0.12	101.37	154.61	164.29	179.04	80.19	0.018	0.052
29.540	24.89	431.81	0.004	0.025	9.847	9.687	12.00	647.70	-41.13	-344.31	27.25	35.43	-1.88	0.12	101.51	154.38	164.06	178.63	80.19	0.017	0.050
29.560	24.89	431.03	-0.002	0.024	9.851	9.707	12.00	640.35	-39.29	-339.66	19.08	39.15	-1.89	0.12	101.65	154.14	163.78	178.24	80.21	0.015	0.048
29.580	24.91	430.44	0.004	0.024	9.851	9.724	11.98	633.31	-36.70	-336.80	10.52	30.86	-1.88	0.11	101.55	153.93	163.58	177.87	80.17	0.013	0.046
29.600	24.91	429.82	0.007	0.028	9.850	9.742	12.00	631.63	-34.06	-340.26	12.31	21.94	-1.86	0.10	101.51	153.77	163.30	177.51	80.22	0.011	0.044
29.620	24.89	429.07	0.004	0.030	9.850	9.748	11.98	626.68	-32.45	-344.75	19.35	17.24	-1.82	0.09	101.72	153.61	163.13	177.17	80.17	0.010	0.044
29.640	24.85	428.25	0.004	0.025	9.848	9.754	11.98	612.27	-32.03	-348.70	28.55	15.53	-1.76	0.09	101.72	153.35	162.76	176.83	80.21	0.010	0.043
29.660	24.84	427.47	0.005	0.027	9.851	9.766	11.96	599.75	-32.87	-349.85	36.03	21.43	-1.71	0.09	101.55	153.19	162.45	176.51	80.18	0.009	0.042
29.680	24.83	426.85	0.010	0.028	9.851	9.777	11.97	591.08	-32.23	-344.94	33.20	29.73	-1.71	0.09	101.69	152.98	162.05	176.15	80.19	0.008	0.041
29.700	24.83	426.38	0.008	0.027	9.850	9.789	11.95	583.26	-30.73	-338.15	21.03	33.11	-1.72	0.09	101.79	152.82	161.57	175.78	80.20	0.006	0.039
29.720	24.83	425.95	0.004	0.022	9.851	9.799	11.97	578.73	-29.55	-334.96	9.92	29.56	-1.73	0.09	101.86	152.56	161.17	175.44	80.18	0.005	0.038
29.740	24.84	425.48	0.010	0.025	9.848	9.812	11.96	569.44	-27.06	-338.69	9.91	17.99	-1.68	0.08	101.51	152.40	160.66	175.13	80.21	0.004	0.037
29.760	24.82	424.89	0.004	0.028	9.851	9.818	11.96	557.17	-25.58	-344.62	18.58	11.99	-1.62	0.07	101.44	152.17	160.06	174.74	80.17	0.003	0.036
29.780	24.80	424.19	0.001	0.025	9.851	9.824	11.97	543.68	-24.39	-346.67	27.10	14.33	-1.57	0.07	101.40	152.01	159.47	174.37	80.21	0.003	0.036
29.800	24.78	423.52	0.001	0.024	9.851	9.834	11.95	526.46	-24.44	-347.27	33.67	17.00	-1.52	0.07	100.87	151.77	158.79	174.01	80.18	0.002	0.035
29.820	24.78	423.02	0.004	0.028	9.850	9.845	11.96	515.41	-25.51	-344.07	31.90	25.23	-1.50	0.07	101.44	151.59	158.14	173.67	80.21	0.001	0.034
29.840	24.77	422.63	0.005	0.021	9.851	9.850	11.97	506.55	-24.75	-337.31	21.64	29.98	-1.50	0.07	101.30	151.38	157.57	173.25	80.20	0.000	0.033
29.860	24.78	422.31	0.010	0.031	9.849	9.863	11.98	495.46	-21.84	-334.87	14.63	22.28	-1.48	0.07	101.16	151.11	156.97	172.86	80.19	-0.001	0.032
29.880	24.79	421.80	0.004	0.025	9.849	9.876	11.95	486.79	-19.94	-339.09	17.67	12.89	-1.44	0.06	101.09	150.93	156.35	172.55	80.22	-0.003	0.030
29.900	24.78	421.26	0.007	0.033	9.846	9.884	11.98	474.36	-18.49	-343.15	22.02	6.29	-1.38	0.05	101.09	150.72	155.78	172.16	80.19	-0.004	0.029
29.920	24.76	420.48	0.005	0.022	9.847	9.898	11.98	453.88	-18.23	-346.42	28.05	4.01	-1.31	0.05	100.80	150.54	155.21	171.82	80.24	-0.005	0.028
29.940	24.75	419.77	0.005	0.028	9.849	9.908	11.96	434.92	-17.50	-346.40	35.42	9.92	-1.26	0.05	100.66	150.33	154.62	171.48	80.20	-0.006	0.027
29.960	24.75	419.26	0.008	0.027	9.846	9.922	11.97	419.07	-16.04	-340.50	34.61	17.30	-1.23	0.05	101.05	149.93	154.17	171.14	80.24	-0.008	0.025
29.980	24.75	418.76	0.004	0.027	9.845	9.934	11.97	407.21	-15.90	-333.20	25.76	22.18	-1.22	0.05	100.80	149.64	153.57	170.77	80.21	-0.009	0.024
30.000	24.75	418.37	0.005	0.022	9.843	9.942	11.97	396.63	-14.99	-330.66	18.16	19.00	-1.20	0.05	100.66	149.40	153.14	170.44	80.24	-0.010	0.023
30.020	24.75	417.82	0.007	0.022	9.841	9.958	11.97	382.56	-13.11	-333.48	17.33	6.77	-1.15	0.04	100.59	149.09	152.69	170.10	80.23	-0.012	0.022
30.040	24.78	417.08	0.007	0.022	9.838	9.985	11.97	368.10	-11.96	-339.15	21.50	0.99	-1.09	0.04	100.27	148.83	152.18	169.81	80.24	-0.015	0.019
30.060	24.78	416.25	0.004	0.021	9.838	10.003	11.97	347.04	-9.21	-342.33	28.31	0.77	-1.01	0.03	100.38	148.54	151.73	169.50	80.27	-0.017	0.017
30.080	24.77	415.43	0.010	0.027	9.836	10.021	11.96	319.76	-7.22	-341.79	36.71	-0.04	-0.94	0.02	100.24	148.25	151.24	169.13	80.22	-0.018	0.015
30.100	24.75	414.73	-0.002	0.025	9.833	10.032	11.95	300.88	-7.60	-338.41	38.79	7.78	-0.89	0.02	100.13	147.88	150.73	168.79	80.27	-0.020	0.014
30.120	24.74	414.30	0.005	0.028	9.831	10.036	11.96	285.37	-6.99	-330.44	29.32	13.47	-0.86	0.02	100.34	147.41	150.22	168.48	80.24	-0.020	0.014
30.140	24.72	413.87	0.005	0.024	9.828	10.039	11.96	268.84	-4.03	-328.29	23.65	6.51	-0.82	0.01	100.10	147.01	149.77	168.17	80.26	-0.021	0.014
30.160	24.72	413.44	0.008	0.034	9.824	10.048	11.95	255.39	-3.57	-332.95	22.33	-0.16	-0.77	0.01	100.06	146.59	149.46	167.88	80.24	-0.022	0.013
30.180	24.71	412.70	0.007	0.021	9.823	10.062	11.96	238.45	-1.79	-340.10	24.24	-4.85	-0.70	0.01	99.92	146.14	149.09	167.57	80.24	-0.024	0.011
30.200	24.69	411.99	0.007	0.028	9.820	10.074	11.97	214.40	0.16	-346.51	30.49	-10.36	-0.62	0.00	100.13	145.83	148.83	167.30	80.26	-0.025	0.010
30.220	24.69	411.17	0.004	0.030	9.819	10.093	11.96	188.32	0.13	-347.66	37.26	-8.54	-0.54	0.00	99.74	145.30	148.44	167.02	80.22	-0.027	0.008
30.240	24.68	410.51	0.008	0.034	9.817	10.104	11.96	163.61	1.01	-342.69	41.01	-2.17	-0.48	0.00	99.60	144.80	148.13	166.65	80.28	-0.028	0.007
30.260	24.66	409.96	0.014	0.030	9.815	10.109	11.97	144.69	1.67	-334.96	36.23	4.32	-0.43	0.00	99.42	144.35	147.79	166.26	80.23	-0.029	0.007
30.280	24.64	409.61	0.004	0.022	9.814	10.111	11.96	123.67	2.79	-329.37	29.33	3.41	-0.38	-0.01	99.64	143.85	147.33	165.84	80.27	-0.029	0.006
30.300	24.63	409.14	0.004	0.022	9.810	10.116	11.95	100.59	4.24	-330.51	28.14	-5.73	-0.30	-0.01	99.60	143.43	147.05	165.40	80.24	-0.030	0.006
30.320	24.63	408.75	0.008	0.030	9.807	10.126	11.96	81.17	4.43	-338.12	30.29	-11.37	-0.24	-0.01	99.60	142.91	146.74	165.04	80.26	-0.032	0.005
30.340	24.63	408.13	0.005	0.027	9.804	10.142	11.95	58.99	6.36	-342.14	31.36	-14.69	-0.17	-0.02	99.56	142.54	146.51	164.67	80.26	-0.033	0.003
30.360	24.63	407.30	0.008	0.033	9.803	10.164	11.97	30.27	10.53	-342.62	39.46	-19.57	-0.09	-0.03	99.49	142.20	146.31	164.28	80.25	-0.036	0.001
30.380	24.62	406.64	0.004	0.030	9.801	10.175	11.95	5.64	10.83	-342.43	48.42	-14.36	-0.02	-0.03	99.07	141.72	146.11	163.94	80.28	-0.037	0.000
30.400	24.60	406.02	0.008	0.022	9.800	10.182	11.98	-12.60	10.74	-337.17	46.37	-3.45	0.04	-0.03	99.49	141.41	145.89	163.50	80.24	-0.038	-0.001
30.420	24.57	405.59	0.004	0.027	9.797	10.181	11.95	-28.18	13.05	-330.92	37.21	-2.36	0.09	-0.04	99.46	141.12	145.69	163.08	80.29	-0.038	-0.001
30.440	24.55	405.16	0.005	0.033	9.792	10.186	11.96	-49.97	14.64	-330.32	35.05	-7.82	0.15	-0.04	99.46	140.75	145.46	162.77	80.25	-0.039	-0.001
30.460	24.55	404.53	0.007	0.021	9.790	10.199	11.96	-80.30	15.23	-335.66	39.40	-12.76	0.24	-0.05	99.53	140.49	145.43	162.40	80.28	-0.040	-0.002
30.480	24.53	403.63	0.005	0.030	9.787	10.214	11.95	-103.54	15.57	-341.67	39.42	-19.63	0.30	-0.05	99.42	140.30	145.35	162.06	80.26	-0.042	-0.004
