TIRF Data File: Project 1320; Run 126
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	mph	rpm	deg	deg	in	in	psi	lb	lb	lb	ft-lb	ft-lb	none	none	deg F	deg F	deg F	deg F	deg F	none	SAE
28.200	24.97	477.46	-0.008	0.021	9.850	8.790	9.98	776.95	-31.04	-341.50	12.46	43.59	-2.28	0.09	101.65	153.32	150.76	167.62	79.67	0.121	0.159
28.220	24.95	476.83	-0.003	0.018	9.850	8.793	9.96	772.60	-30.16	-338.00	2.61	40.12	-2.29	0.09	101.69	153.32	150.76	167.59	79.71	0.120	0.159
28.240	24.92	476.56	-0.006	0.021	9.850	8.789	9.97	766.66	-30.93	-339.34	4.48	26.75	-2.26	0.09	101.69	153.27	150.76	167.57	79.67	0.121	0.159
28.260	24.90	476.48	-0.002	0.022	9.851	8.783	9.96	770.25	-32.92	-341.51	11.12	22.78	-2.26	0.10	102.01	153.27	150.71	167.57	79.71	0.122	0.160
28.280	24.87	476.68	-0.006	0.025	9.851	8.768	9.96	772.03	-33.79	-343.31	20.00	25.20	-2.25	0.10	102.18	153.25	150.71	167.51	79.68	0.124	0.162
28.300	24.82	476.64	-0.005	0.030	9.851	8.752	9.99	765.38	-33.44	-343.22	23.92	30.67	-2.23	0.10	101.72	153.22	150.65	167.46	79.70	0.125	0.164
28.320	24.79	476.60	-0.009	0.021	9.851	8.743	9.97	764.29	-30.83	-338.91	15.20	41.35	-2.26	0.09	101.76	153.14	150.54	167.46	79.70	0.127	0.165
28.340	24.78	476.68	-0.009	0.021	9.850	8.738	9.99	760.42	-28.88	-335.02	3.60	40.04	-2.27	0.09	101.58	153.04	150.48	167.41	79.67	0.127	0.166
28.360	24.77	476.68	-0.003	0.025	9.850	8.733	9.99	755.56	-29.06	-335.21	1.33	28.60	-2.25	0.09	101.86	153.04	150.45	167.36	79.72	0.128	0.167
28.380	24.79	476.48	-0.005	0.025	9.850	8.744	9.97	760.69	-32.14	-339.65	7.49	22.90	-2.24	0.09	101.79	152.98	150.34	167.33	79.67	0.127	0.165
28.400	24.81	476.05	-0.008	0.021	9.851	8.759	9.96	764.70	-32.71	-342.60	16.06	22.97	-2.23	0.10	101.86	152.96	150.31	167.33	79.72	0.125	0.163
28.420	24.82	475.15	-0.002	0.027	9.850	8.781	9.98	764.34	-31.57	-343.55	22.64	30.23	-2.22	0.09	101.90	152.82	150.22	167.33	79.68	0.122	0.160
28.440	24.84	473.94	-0.006	0.017	9.851	8.807	9.98	764.12	-31.89	-341.36	17.92	42.18	-2.24	0.09	101.86	152.82	150.17	167.30	79.70	0.119	0.157
28.460	24.87	472.53	0.000	0.008	9.852	8.846	9.96	759.37	-30.54	-338.06	6.58	42.10	-2.25	0.09	101.72	152.75	150.14	167.25	79.70	0.114	0.152
28.480	24.89	471.13	-0.003	0.027	9.850	8.879	9.97	755.52	-29.98	-338.46	2.85	32.33	-2.23	0.09	101.79	152.67	150.11	167.20	79.69	0.109	0.147
28.500	24.89	469.64	-0.008	0.017	9.850	8.909	9.99	761.41	-30.73	-342.20	8.60	25.21	-2.23	0.09	101.97	152.69	150.11	167.20	79.71	0.106	0.144
28.520	24.91	468.27	-0.003	0.015	9.849	8.940	9.99	767.28	-34.12	-346.30	15.32	19.69	-2.22	0.10	101.93	152.67	150.08	167.17	79.68	0.102	0.140
28.540	24.94	466.55	-0.006	0.021	9.851	8.983	9.98	773.66	-37.67	-349.22	21.53	25.92	-2.22	0.11	102.11	152.59	150.05	167.07	79.71	0.097	0.134
28.560	24.97	464.79	-0.006	0.015	9.851	9.029	9.98	777.24	-37.67	-348.33	21.31	37.45	-2.23	0.11	102.08	152.48	150.11	167.07	79.68	0.091	0.128
28.580	24.99	462.92	-0.006	0.024	9.851	9.072	9.98	776.27	-35.89	-344.21	10.46	41.83	-2.26	0.10	101.86	152.40	150.05	166.99	79.72	0.086	0.123
28.600	25.00	461.39	-0.009	0.021	9.852	9.107	9.97	776.97	-34.55	-341.34	1.81	41.05	-2.28	0.10	102.43	152.40	149.97	166.84	79.68	0.082	0.119
28.620	25.01	460.26	-0.012	0.021	9.853	9.133	10.00	772.26	-35.14	-343.85	4.81	28.75	-2.25	0.10	102.08	152.38	149.97	166.78	79.69	0.079	0.116
28.640	25.01	459.36	-0.005	0.021	9.855	9.151	9.98	772.40	-39.15	-348.19	11.15	20.27	-2.22	0.11	101.93	152.30	149.94	166.73	79.70	0.077	0.113
28.660	25.01	458.70	-0.009	0.021	9.857	9.165	10.04	778.41	-40.35	-350.05	18.62	24.71	-2.22	0.12	101.93	152.25	149.88	166.68	79.68	0.076	0.112
28.680	25.02	458.31	-0.003	0.022	9.858	9.174	9.98	775.46	-39.35	-348.76	25.80	30.17	-2.22	0.11	101.97	152.17	149.83	166.63	79.71	0.075	0.111
28.700	25.01	457.92	-0.002	0.021	9.859	9.180	9.98	773.74	-37.97	-344.65	21.15	40.31	-2.25	0.11	101.93	152.04	149.71	166.50	79.67	0.074	0.110
28.720	25.01	457.84	0.000	0.028	9.859	9.181	9.98	772.67	-36.66	-339.63	8.57	43.62	-2.28	0.11	101.90	151.98	149.71	166.42	79.71	0.074	0.110
28.740	25.00	457.92	-0.006	0.024	9.861	9.177	9.97	766.74	-36.06	-338.09	4.21	32.24	-2.27	0.11	101.79	151.93	149.57	166.34	79.67	0.074	0.110
28.760	24.98	457.96	-0.003	0.021	9.861	9.168	9.96	765.16	-36.65	-340.08	7.86	23.43	-2.25	0.11	101.86	151.80	149.49	166.24	79.72	0.076	0.111
28.780	24.95	458.03	-0.002	0.021	9.860	9.155	9.98	770.04	-38.80	-342.61	14.29	21.88	-2.25	0.11	101.79	151.77	149.40	166.16	79.70	0.077	0.113
28.800	24.92	457.84	-0.003	0.022	9.861	9.148	9.98	769.04	-39.05	-343.23	21.74	24.77	-2.24	0.11	101.76	151.72	149.32	166.05	79.68	0.078	0.114
28.820	24.90	457.45	-0.008	0.022	9.863	9.148	9.99	769.16	-38.10	-341.53	22.64	35.43	-2.25	0.11	101.76	151.64	149.20	165.90	79.71	0.078	0.114
28.840	24.89	456.82	-0.005	0.028	9.861	9.155	9.98	770.28	-36.15	-337.48	13.05	43.38	-2.28	0.11	101.69	151.56	149.06	165.77	79.67	0.077	0.113
28.860	24.89	456.04	-0.008	0.022	9.862	9.173	9.98	767.24	-33.57	-334.71	3.13	39.49	-2.29	0.10	101.76	151.48	149.00	165.64	79.72	0.075	0.111
28.880	24.89	455.10	-0.003	0.021	9.862	9.191	9.97	763.04	-33.71	-335.79	3.24	30.11	-2.27	0.10	101.69	151.40	148.89	165.53	79.68	0.073	0.108
28.900	24.87	454.09	0.007	0.025	9.860	9.204	9.97	762.04	-35.39	-340.16	10.65	22.51	-2.24	0.10	101.65	151.40	148.81	165.43	79.71	0.071	0.107
28.920	24.86	452.87	-0.009	0.021	9.862	9.227	9.97	763.67	-38.12	-344.90	19.66	21.43	-2.21	0.11	101.97	151.35	148.72	165.32	79.68	0.069	0.104
28.940	24.87	451.55	-0.006	0.017	9.863	9.257	9.96	764.74	-39.92	-347.05	27.23	28.95	-2.20	0.12	101.65	151.27	148.61	165.22	79.70	0.065	0.101
28.960	24.86	450.22	-0.005	0.028	9.861	9.281	9.97	760.58	-38.55	-344.13	22.85	36.97	-2.21	0.11	101.62	151.14	148.47	165.11	79.70	0.062	0.098
28.980	24.84	448.85	-0.011	0.021	9.861	9.301	9.98	757.43	-35.04	-338.46	9.67	41.59	-2.24	0.10	101.69	151.09	148.41	164.96	79.68	0.060	0.095
29.000	24.83	447.91	-0.008	0.021	9.861	9.317	9.97	753.33	-34.17	-336.07	1.11	37.21	-2.24	0.10	101.83	150.96	148.30	164.90	79.71	0.058	0.093
29.020	24.84	446.90	-0.008	0.017	9.862	9.341	9.98	745.58	-34.91	-339.34	3.94	24.64	-2.20	0.10	101.90	150.85	148.24	164.83	79.67	0.056	0.091
29.040	24.84	446.23	-0.002	0.027	9.862	9.355	9.98	744.70	-38.77	-345.88	11.47	20.25	-2.15	0.11	101.65	150.83	148.07	164.75	79.72	0.054	0.089
29.060	24.86	445.61	0.000	0.022	9.861	9.375	9.98	745.82	-39.63	-348.90	20.46	24.05	-2.14	0.11	101.86	150.72	148.01	164.72	79.68	0.052	0.087
29.080	24.86	444.98	-0.003	0.021	9.862	9.390	9.98	742.98	-38.16	-348.09	26.54	29.68	-2.13	0.11	101.37	150.51	147.87	164.59	79.71	0.050	0.085
29.100	24.85	444.59	-0.005	0.024	9.862	9.395	9.98	744.10	-38.37	-343.41	18.68	40.69	-2.17	0.11	101.72	150.51	147.70	164.44	79.69	0.050	0.084
29.120	24.85	444.08	-0.002	0.030	9.862	9.405	9.99	739.91	-35.98	-337.83	5.32	42.16	-2.19	0.11	102.11	150.43	147.62	164.33	79.68	0.049	0.083
29.140	24.85	443.73	-0.005	0.024	9.864	9.411	9.97	727.78	-34.09	-338.67	3.87	29.69	-2.15	0.10	101.79	150.25	147.50	164.20	79.70	0.048	0.082
29.160	24.86	443.34	-0.002	0.018	9.863	9.424	9.97	723.68	-37.00	-342.54	8.22	22.79	-2.11	0.11	101.76	150.19	147.36	164.20	79.68	0.047	0.081
29.180	24.86	443.07	0.000	0.025	9.864	9.432	9.96	723.56	-39.30	-346.37	14.48	19.34	-2.09	0.11	101.40	150.04	147.19	164.07	79.72	0.046	0.080
29.200	24.87	442.75	-0.003	0.028	9.864	9.440	9.98	721.28	-40.02	-348.66	22.93	21.07	-2.07	0.11	101.72	149.96	147.08	163.97	79.68	0.045	0.079
29.220	24.89	442.24	-0.002	0.022	9.866	9.457	9.98	719.58	-39.36	-345.18	23.84	32.14	-2.08	0.11	101.93	149.77	146.88	163.91	79.71	0.043	0.077
29.240	24.89	441.66	-0.006	0.022	9.865	9.471	9.99	714.25	-36.12	-341.29	16.85	38.46	-2.09	0.11	101.58	149.67	146.71	163.81	79.68	0.042	0.076
29.260	24.87	440.99	-0.008	0.021	9.867	9.480	9.99	706.52	-35.25	-338.79	5.68	37.81	-2.09	0.10	101.51	149.54	146.57	163.70	79.70	0.041	0.075
29.280	24.85	440.45	-0.006	0.027	9.865	9.484	9.98	697.56	-34.64	-337.70	1.73	29.79	-2.07	0.10	101.44	149.43	146.40	163.57	79.70	0.040	0.074
29.300	24.85	439.90	0.000	0.022	9.868	9.495	9.98	688.31	-33.48	-341.87	9.44	18.28	-2.01	0.10	101.51	149.30	146.23	163.50	79.68	0.039	0.073
29.320	24.86	439.35	-0.008	0.022	9.867	9.510	9.98	688.24	-34.67	-346.51	17.35	18.36	-1.99	0.10	101.47	149.17	146.06	163.44	79.70	0.038	0.071
29.340	24.87	438.81	-0.009	0.021	9.868	9.525	9.98	687.81	-35.70	-347.50	24.28	22.41	-1.98	0.10	101.40	149.06	145.97	163.26	79.66	0.036	0.070
29.360	24.86	438.06	-0.009	0.021	9.869	9.540	9.96	682.12	-36.13	-344.68	25.01	28.18	-1.98	0.10	100.98	148.83	145.80	163.16	79.70	0.034	0.068
29.380	24.87	437.20	-0.003	0.021	9.869	9.560	9.97	680.89	-33.39	-339.63	14.87	38.68	-2.00	0.10	101.40	148.75	145.66	163.03	79.65	0.032	0.066
29.400	24.86	436.23	-0.005	0.028	9.868	9.578	9.98	672.73	-31.28	-336.46	5.04	33.99	-2.00	0.09	101.37	148.54	145.60	162.87	79.67	0.030	0.064
29.420	24.85	435.33	-0.003	0.024	9.868	9.594	9.96	660.06	-32.19	-337.71	4.28	21.44	-1.95	0.10	101.33	148.43	145.43	162.71	79.65	0.028	0.062
29.440	24.84	434.47	-0.009	0.021	9.869	9.611	9.97	655.60	-34.01	-341.25	9.03	17.43	-1.92	0.10	101.23	148.30	145.35	162.56	79.66	0.027	0.060
29.460	24.85	433.69	-0.012	0.021	9.869	9.629	9.97	650.43	-33.47	-345.33	18.19	14.95	-1.88	0.10	101.30	148.12	145.15	162.40	79.67	0.025	0.058
29.480	24.83	432.94	-0.008	0.024	9.868	9.638	9.99	645.09	-33.56	-345.93	25.14	19.44	-1.86	0.10	101.30	148.06	144.98	162.27	79.65	0.024	0.057
29.500	24.82	432.16	-0.003	0.021	9.869	9.652	9.97	642.94	-34.48	-343.66	23.71	30.37	-1.87	0.10	101.37	147.83	144.84	162.11	79.67	0.023	0.055
29.520	24.82	431.42	-0.003	0.021	9.869	9.667	9.98	635.70	-33.74	-339.43	13.87	34.06	-1.87	0.10	101.72	147.77	144.64	161.90	79.62	0.021	0.054
29.540	24.81	430.79	-0.005	0.018	9.869	9.678	10.00	627.93	-30.84	-334.59	3.26	31.75	-1.88	0.09	101.23	147.59	144.35	161.75	79.65	0.020	0.053
29.560	24.80	430.21	-0.011	0.021	9.868	9.688	9.98	617.38	-28.64	-336.16	4.92	21.59	-1.84	0.09	101.19	147.41	144.13	161.62	79.63	0.019	0.052
29.580	24.79	429.58	0.000	0.017	9.869	9.700	9.97	605.73	-30.42	-342.09	12.79	11.96	-1.77	0.09	101.16	147.33	143.87	161.41	79.64	0.017	0.050
29.600	24.78	429.11	-0.002	0.025	9.867	9.705	9.97	600.05	-33.02	-346.43	19.08	12.69	-1.73	0.10	101.19	147.14	143.56	161.20	79.64	0.017	0.050
29.620	24.78	428.64	0.000	0.025	9.867	9.714	9.98	592.86	-32.78	-346.12	26.41	17.00	-1.71	0.09	101.19	146.96	143.25	161.04	79.61	0.016	0.049
29.640	24.78	428.14	-0.008	0.024	9.868	9.727	9.99	581.37	-30.71	-341.93	26.76	24.43	-1.70	0.09	101.09	146.83	142.91	160.81	79.65	0.014	0.047
29.660	24.78	427.59	-0.006	0.022	9.868	9.742	9.99	574.53	-29.67	-336.31	15.38	31.95	-1.71	0.09	100.77	146.62	142.60	160.65	79.61	0.013	0.046
29.680	24.79	427.12	-0.009	0.021	9.867	9.755	10.00	562.66	-28.47	-333.02	5.79	25.45	-1.69	0.09	100.98	146.48	142.20	160.47	79.65	0.012	0.044
29.700	24.80	426.61	-0.005	0.022	9.865	9.771	10.01	546.60	-26.40	-334.76	7.59	14.65	-1.63	0.08	100.80	146.27	141.86	160.26	79.61	0.010	0.043
29.720	24.82	426.14	-0.008	0.021	9.865	9.787	10.02	534.31	-26.49	-338.34	13.39	9.52	-1.58	0.08	100.77	146.09	141.49	160.08	79.63	0.008	0.041
29.740	24.80	425.71	-0.005	0.015	9.866	9.791	10.01	523.84	-27.97	-341.13	18.72	8.30	-1.54	0.08	101.09	145.93	141.12	159.82	79.61	0.008	0.040
29.760	24.79	425.28	-0.006	0.021	9.862	9.798	10.02	513.64	-27.89	-341.52	25.23	14.00	-1.50	0.08	100.70	145.70	140.81	159.66	79.62	0.007	0.040
29.780	24.79	424.74	-0.006	0.021	9.864	9.808	10.01	503.00	-27.22	-338.96	26.19	23.74	-1.48	0.08	100.73	145.46	140.36	159.43	79.63	0.006	0.039
29.800	24.79	424.27	-0.006	0.022	9.861	9.820	10.02	488.84	-24.75	-335.69	18.77	26.55	-1.46	0.07	100.94	145.25	139.90	159.17	79.60	0.004	0.037
29.820	24.81	423.72	-0.003	0.025	9.859	9.840	10.04	474.69	-23.39	-332.34	8.78	21.41	-1.43	0.07	100.70	144.85	139.51	158.90	79.63	0.002	0.035
29.840	24.80	423.09	0.000	0.017	9.859	9.853	10.01	460.92	-22.88	-333.43	8.71	11.58	-1.38	0.07	100.70	144.54	139.02	158.70	79.59	0.001	0.034
29.860	24.80	422.47	-0.006	0.025	9.855	9.868	10.01	445.74	-21.58	-337.90	14.41	4.58	-1.32	0.06	100.73	144.22	138.60	158.46	79.63	-0.001	0.032
29.880	24.81	421.88	-0.005	0.025	9.854	9.883	9.99	434.23	-21.20	-341.26	20.49	4.03	-1.27	0.06	100.73	143.83	138.12	158.20	79.60	-0.003	0.031
29.900	24.79	421.18	-0.006	0.017	9.853	9.893	10.00	422.60	-21.72	-343.03	27.76	6.73	-1.23	0.06	100.59	143.30	137.63	158.02	79.62	-0.004	0.030
29.920	24.78	420.48	-0.006	0.021	9.852	9.905	9.99	407.93	-22.29	-340.70	28.01	14.90	-1.20	0.07	100.48	142.85	137.12	157.70	79.61	-0.005	0.029
29.940	24.76	419.62	-0.009	0.021	9.849	9.918	9.99	394.57	-22.15	-335.28	18.63	23.55	-1.18	0.07	100.52	142.35	136.61	157.31	79.60	-0.007	0.027
29.960	24.74	418.87	-0.005	0.017	9.849	9.928	9.97	377.07	-19.66	-332.58	11.22	17.33	-1.13	0.06	100.63	141.91	136.10	157.05	79.62	-0.008	0.026
29.980	24.73	418.13	-0.002	0.021	9.846	9.942	9.97	357.56	-17.62	-332.82	9.55	5.81	-1.07	0.05	100.59	141.33	135.56	156.69	79.59	-0.010	0.025
30.000	24.73	417.39	-0.006	0.018	9.844	9.959	9.99	342.75	-18.17	-336.63	14.08	1.88	-1.02	0.05	100.59	140.78	135.11	156.40	79.63	-0.012	0.023
30.020	24.73	416.72	-0.008	0.022	9.841	9.973	9.97	326.87	-18.25	-340.01	20.05	-0.19	-0.96	0.05	100.48	140.28	134.54	156.01	79.59	-0.013	0.021
30.040	24.73	416.06	-0.002	0.021	9.840	9.992	9.97	309.33	-16.90	-340.80	27.28	1.65	-0.91	0.05	100.27	139.80	134.06	155.77	79.62	-0.015	0.020
30.060	24.73	415.43	-0.006	0.021	9.838	10.004	9.98	293.90	-16.05	-339.53	30.70	10.35	-0.87	0.05	100.38	139.22	133.58	155.41	79.61	-0.017	0.018
30.080	24.71	414.89	-0.008	0.021	9.837	10.010	9.97	276.59	-14.63	-335.70	24.47	15.97	-0.82	0.04	100.24	138.86	133.24	155.10	79.61	-0.017	0.018
30.100	24.71	414.50	-0.012	0.022	9.833	10.018	9.99	258.52	-12.95	-332.35	14.78	12.86	-0.78	0.04	100.20	138.25	132.76	154.78	79.60	-0.018	0.017
30.120	24.71	414.11	-0.003	0.025	9.831	10.028	9.97	241.73	-11.37	-332.70	13.05	3.33	-0.73	0.03	99.78	137.75	132.42	154.39	79.58	-0.020	0.016
30.140	24.71	413.75	0.000	0.018	9.830	10.035	9.96	221.36	-10.83	-336.50	16.06	-4.57	-0.66	0.03	100.34	137.28	132.02	154.16	79.61	-0.020	0.015
30.160	24.71	413.25	-0.009	0.021	9.828	10.050	9.97	203.70	-9.82	-340.96	20.90	-7.25	-0.60	0.03	100.02	136.88	131.68	153.79	79.57	-0.022	0.014
30.180	24.73	412.74	-0.006	0.021	9.827	10.070	9.99	186.25	-9.10	-343.07	29.06	-8.35	-0.54	0.03	99.92	136.36	131.31	153.48	79.60	-0.024	0.012
30.200	24.73	412.19	-0.005	0.025	9.824	10.084	9.97	164.47	-8.06	-341.18	34.00	-2.77	-0.48	0.02	99.56	135.99	130.97	153.17	79.57	-0.026	0.010
30.220	24.73	411.64	-0.002	0.022	9.823	10.095	9.96	145.80	-8.34	-336.55	28.97	8.77	-0.43	0.02	99.74	135.62	130.57	152.90	79.59	-0.027	0.009
30.240	24.71	411.10	-0.006	0.022	9.821	10.103	9.95	123.13	-6.78	-331.78	20.19	6.36	-0.37	0.02	99.92	135.17	130.29	152.51	79.59	-0.028	0.008
30.260	24.71	410.71	-0.006	0.024	9.818	10.110	9.95	97.58	-3.47	-330.63	18.47	-4.92	-0.30	0.01	99.60	134.80	130.03	152.23	79.58	-0.029	0.008
30.280	24.71	410.16	-0.006	0.021	9.814	10.125	9.95	78.96	-1.53	-331.20	21.56	-10.09	-0.24	0.00	99.67	134.44	129.69	151.99	79.61	-0.031	0.006
30.300	24.72	409.65	-0.006	0.022	9.811	10.142	9.94	56.85	-0.36	-335.34	25.67	-14.75	-0.17	0.00	99.39	134.17	129.44	151.65	79.57	-0.033	0.005
30.320	24.72	408.99	0.000	0.022	9.810	10.158	9.94	33.47	1.14	-338.54	31.11	-16.75	-0.10	0.00	99.71	133.91	129.18	151.42	79.61	-0.034	0.003
30.340	24.73	408.36	-0.002	0.030	9.806	10.176	9.93	14.14	2.79	-339.31	38.57	-12.45	-0.04	-0.01	99.42	133.67	128.90	151.13	79.58	-0.036	0.001
30.360	24.73	407.66	-0.003	0.049	9.803	10.194	9.93	-6.16	3.92	-337.04	39.50	-4.89	0.02	-0.01	99.35	133.38	128.73	150.92	79.60	-0.038	-0.001
30.380	24.71	406.99	-0.003	0.024	9.801	10.203	9.94	-22.50	4.89	-332.54	30.64	-1.13	0.07	-0.01	99.25	133.20	128.47	150.61	79.58	-0.039	-0.002
30.400	24.70	406.45	0.001	0.022	9.799	10.212	9.91	-36.86	5.66	-331.56	24.86	-8.75	0.11	-0.02	99.00	133.07	128.33	150.27	79.58	-0.041	-0.002
30.420	24.68	405.78	0.000	0.021	9.795	10.223	9.93	-63.32	6.99	-332.26	26.54	-17.60	0.19	-0.02	99.21	132.94	128.13	150.04	79.60	-0.042	-0.003
30.440	24.66	404.92	-0.003	0.028	9.791	10.235	9.92	-88.09	9.39	-334.81	29.75	-20.35	0.26	-0.03	98.96	132.94	128.02	149.72	79.57	-0.043	-0.005
30.460	24.63	404.06	0.000	0.021	9.790	10.245	9.92	-109.55	10.72	-338.78	33.21	-26.61	0.32	-0.03	99.28	132.94	127.88	149.44	79.61	-0.044	-0.006
30.480	24.62	403.08	-0.008	0.025	9.786	10.264	9.92	-131.83	11.59	-340.89	39.13	-26.81	0.39	-0.03	99.25	132.94	127.79	149.15	79.57	-0.047	-0.007
30.500	24.60	402.26	0.000	0.030	9.784	10.280	9.92	-144.94	12.28	-339.53	42.68	-13.99	0.43	-0.04	99.14	132.91	127.65	148.78	79.61	-0.048	-0.009
