TIRF Data File: Project 1320; Run 127
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	mph	rpm	deg	deg	in	in	psi	lb	lb	lb	ft-lb	ft-lb	none	none	deg F	deg F	deg F	deg F	deg F	none	SAE
27.160	24.98	493.05	0.007	0.024	9.937	8.514	13.97	696.81	-16.92	-345.70	9.95	16.90	-2.02	0.05	99.78	150.72	166.36	170.88	79.77	0.167	0.200
27.180	24.98	493.05	0.005	0.027	9.937	8.515	14.00	702.76	-17.50	-345.81	16.86	24.87	-2.03	0.05	99.78	150.85	166.44	170.88	79.79	0.167	0.200
27.200	25.00	492.82	0.014	0.028	9.938	8.525	13.95	699.84	-17.03	-342.53	15.17	33.97	-2.04	0.05	99.78	150.83	166.47	170.96	79.79	0.166	0.199
27.220	24.99	492.50	0.011	0.034	9.938	8.529	13.97	691.71	-16.00	-338.15	5.41	35.46	-2.05	0.05	99.78	150.88	166.53	171.01	79.77	0.165	0.198
27.240	24.97	492.27	0.008	0.028	9.937	8.526	13.97	688.48	-15.71	-338.84	0.23	29.30	-2.03	0.05	99.92	150.96	166.56	171.04	79.82	0.166	0.199
27.260	24.97	492.15	0.005	0.030	9.937	8.526	13.97	688.68	-15.40	-342.80	3.30	19.29	-2.01	0.04	100.10	150.98	166.61	171.14	79.76	0.166	0.199
27.280	24.96	492.07	0.010	0.034	9.938	8.526	13.96	694.76	-16.62	-346.18	9.53	16.07	-2.01	0.05	100.10	151.09	166.73	171.24	79.81	0.166	0.199
27.300	24.96	491.80	0.008	0.025	9.938	8.529	13.96	702.05	-18.13	-347.03	16.61	24.01	-2.02	0.05	99.88	151.11	166.87	171.32	79.77	0.165	0.198
27.320	24.95	491.41	0.014	0.031	9.937	8.535	13.98	698.11	-16.87	-343.91	17.08	31.63	-2.03	0.05	100.06	151.17	166.90	171.37	79.80	0.164	0.198
27.340	24.96	491.02	0.007	0.027	9.938	8.545	13.97	691.84	-17.08	-338.33	4.81	36.90	-2.04	0.05	100.10	151.22	166.98	171.37	79.79	0.163	0.196
27.360	24.97	490.75	0.010	0.028	9.937	8.552	13.99	687.67	-16.05	-336.91	-3.99	32.44	-2.04	0.05	100.20	151.25	166.98	171.40	79.78	0.162	0.195
27.380	24.96	490.71	0.008	0.031	9.937	8.550	13.97	684.29	-15.41	-342.11	0.17	20.11	-2.00	0.05	100.20	151.30	167.01	171.45	79.81	0.162	0.195
27.400	24.96	490.86	0.008	0.030	9.938	8.546	13.97	689.09	-15.83	-345.66	8.48	18.09	-1.99	0.05	100.24	151.43	167.15	171.58	79.77	0.163	0.196
27.420	24.96	490.98	0.010	0.028	9.937	8.543	13.96	689.42	-17.00	-347.12	17.22	21.64	-1.99	0.05	100.34	151.48	167.24	171.64	79.81	0.163	0.196
27.440	24.95	491.18	0.010	0.027	9.938	8.536	13.97	682.26	-17.44	-344.25	17.36	28.34	-1.98	0.05	100.45	151.54	167.24	171.64	79.78	0.164	0.197
27.460	24.94	491.25	0.007	0.028	9.939	8.532	13.98	679.86	-17.19	-338.81	6.20	36.20	-2.01	0.05	100.20	151.48	167.29	171.64	79.81	0.165	0.198
27.480	24.92	491.49	0.008	0.024	9.938	8.523	13.97	677.66	-15.05	-338.58	0.49	30.83	-2.00	0.04	100.52	151.54	167.29	171.71	79.78	0.166	0.199
27.500	24.92	491.76	0.008	0.030	9.938	8.517	13.97	678.86	-14.28	-341.91	2.67	19.77	-1.99	0.04	100.63	151.59	167.41	171.84	79.79	0.167	0.200
27.520	24.93	491.92	-0.019	0.027	9.940	8.517	13.97	686.15	-16.44	-345.47	8.38	17.22	-1.99	0.05	100.66	151.67	167.44	171.90	79.80	0.167	0.200
27.540	24.94	491.88	0.004	0.025	9.939	8.521	13.97	688.88	-17.48	-347.06	15.69	19.76	-1.98	0.05	100.70	151.77	167.52	172.00	79.78	0.166	0.199
27.560	24.94	491.53	0.008	0.031	9.939	8.528	13.96	688.03	-16.84	-344.46	17.32	28.63	-2.00	0.05	100.73	151.80	167.52	172.05	79.82	0.165	0.198
27.580	24.94	491.21	0.004	0.027	9.938	8.533	13.98	687.01	-16.11	-338.85	7.93	37.45	-2.03	0.05	100.77	151.83	167.63	172.08	79.77	0.165	0.198
27.600	24.94	490.78	0.008	0.024	9.939	8.542	13.97	683.21	-14.29	-337.15	0.03	31.36	-2.03	0.04	100.77	151.93	167.69	172.13	79.82	0.164	0.197
27.620	24.96	490.39	0.007	0.027	9.938	8.554	13.97	685.00	-14.77	-340.76	1.82	22.06	-2.01	0.04	100.80	152.01	167.69	172.18	79.78	0.162	0.195
27.640	24.97	489.89	0.011	0.036	9.940	8.567	13.97	692.60	-16.32	-344.73	7.53	17.99	-2.01	0.05	100.94	152.06	167.75	172.31	79.81	0.160	0.193
27.660	24.98	489.18	0.005	0.027	9.939	8.581	13.98	699.40	-17.20	-347.74	16.41	17.99	-2.01	0.05	100.87	152.06	167.83	172.34	79.79	0.158	0.191
27.680	25.00	488.32	0.010	0.027	9.940	8.605	13.96	702.19	-17.64	-344.35	18.59	29.10	-2.04	0.05	100.80	152.11	167.86	172.37	79.80	0.155	0.188
27.700	25.00	487.38	0.011	0.031	9.939	8.621	13.97	694.77	-16.59	-338.32	9.85	35.96	-2.05	0.05	100.66	152.09	167.89	172.34	79.80	0.153	0.185
27.720	24.98	486.64	0.007	0.028	9.939	8.628	13.98	687.55	-15.40	-335.63	-1.05	32.09	-2.05	0.05	100.52	152.09	167.83	172.37	79.78	0.152	0.185
27.740	24.98	486.29	0.013	0.033	9.939	8.635	13.97	694.24	-15.61	-337.95	-3.05	26.15	-2.05	0.05	100.84	152.17	167.86	172.44	79.82	0.151	0.184
27.760	24.98	486.02	0.001	0.027	9.939	8.637	13.97	701.31	-16.04	-343.00	4.92	18.06	-2.04	0.05	100.77	152.17	167.95	172.50	79.77	0.151	0.183
27.780	24.97	485.70	0.007	0.025	9.940	8.639	13.95	707.90	-17.54	-346.22	14.07	19.38	-2.04	0.05	100.59	152.14	167.97	172.55	79.81	0.151	0.183
27.800	24.97	485.23	0.005	0.027	9.939	8.647	13.97	708.79	-17.96	-345.16	19.32	28.09	-2.05	0.05	100.27	152.11	167.97	172.57	79.78	0.149	0.182
27.820	24.97	484.84	0.010	0.028	9.941	8.656	13.96	698.68	-17.50	-339.96	13.02	35.53	-2.06	0.05	100.52	152.14	167.95	172.52	79.80	0.148	0.181
27.840	24.97	484.65	0.007	0.037	9.939	8.658	13.97	688.85	-16.49	-336.48	1.63	34.35	-2.05	0.05	100.52	152.14	167.97	172.44	79.80	0.148	0.180
27.860	24.96	484.77	0.007	0.024	9.939	8.654	13.96	691.07	-15.87	-338.72	-0.15	26.21	-2.04	0.05	100.48	152.17	168.03	172.42	79.78	0.149	0.181
27.880	24.95	484.96	0.008	0.034	9.938	8.648	13.96	698.27	-15.57	-342.18	4.93	17.60	-2.04	0.05	100.38	152.22	168.03	172.44	79.81	0.149	0.182
27.900	24.95	485.00	0.004	0.025	9.939	8.646	13.98	706.03	-18.17	-345.89	12.90	17.73	-2.04	0.05	100.38	152.25	168.06	172.44	79.77	0.150	0.182
27.920	24.94	484.73	0.007	0.022	9.939	8.648	13.98	707.84	-19.99	-345.45	17.84	25.60	-2.05	0.06	100.34	152.25	168.06	172.50	79.82	0.149	0.182
27.940	24.93	484.26	0.005	0.025	9.940	8.653	13.97	698.57	-19.52	-341.03	13.55	32.81	-2.05	0.06	100.24	152.25	168.06	172.39	79.78	0.149	0.181
27.960	24.91	483.71	0.010	0.034	9.939	8.657	13.97	690.62	-17.57	-337.34	2.69	37.10	-2.05	0.05	100.13	152.25	168.06	172.34	79.80	0.148	0.181
27.980	24.91	483.40	0.013	0.031	9.938	8.662	13.97	687.21	-15.89	-337.58	-2.08	28.52	-2.04	0.05	100.17	152.25	168.09	172.31	79.80	0.147	0.180
28.000	24.92	482.97	0.004	0.034	9.938	8.672	13.97	691.11	-17.12	-342.21	3.41	18.50	-2.02	0.05	100.27	152.27	168.12	172.34	79.80	0.146	0.179
28.020	24.93	482.42	0.004	0.028	9.937	8.684	13.97	701.88	-19.26	-346.10	10.68	19.78	-2.03	0.06	100.24	152.30	168.14	172.34	79.82	0.144	0.177
28.040	24.93	481.60	0.011	0.025	9.939	8.702	13.97	704.20	-19.99	-346.75	17.64	23.17	-2.03	0.06	100.34	152.30	168.20	172.34	79.79	0.142	0.175
28.060	24.94	480.55	0.008	0.030	9.938	8.722	13.96	700.20	-19.66	-343.58	17.03	32.86	-2.04	0.06	100.27	152.22	168.23	172.29	79.83	0.139	0.172
